Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Website Status,Social Media Links
Cotswold Natural Stone Masonry Ltd,Cotswold Natural Stone Masonry,Cold,3,construction,http://www.apsmasonry.com,,Online,"['https://www.instagram.com/apsmasonry/', 'https://www.instagram.com/apsmasonry/']"
Floorcare USA,Floorcare USA,Cold,10,construction,http://www.floorcare-usa.com,https://www.facebook.com/Floorcareusa,Offline or Error,None
GR Flooring,GR Flooring,Cold,5,construction,http://www.grflooring.ca,https://www.facebook.com/GRFlooringInc/,Online,"['https://www.facebook.com/GRFlooringInc/', 'https://www.instagram.com/gr_flooring/']"
BON VIEW TRADING,BON VIEW TRADING,Cold,9,construction,http://www.bvtrading.co.za,,Online,"['https://www.facebook.com/bonviewtrading/', 'https://www.facebook.com/bonviewtrading/']"
supagold.london,supagold.london,Cold,10,construction,http://www.supagold.london,,Online,"['https://www.instagram.com/supagold.london/', 'https://www.instagram.com/supagold.london/', 'https://www.instagram.com/supagold.london/']"
Concrete Flooring Network Ltd,Concrete Flooring Network,Cold,3,construction,http://www.concreteflooringnetwork.co.uk,,Offline or Error,None
Conren Resin Flooring Limited,Conren Resin Flooring Limited,Cold,10,construction,http://www.conrenresinflooring.com,,Online,None
Ryebrook Resins Flooring Ltd - Resin Floor Contractors,Ryebrook Resins Flooring,Cold,10,construction,http://www.ryebrook.co.uk,https://www.facebook.com/RyebrookResins,Online,"['https://www.facebook.com/RyebrookResins', 'https://www.facebook.com/RyebrookResins']"
Degafloor Ltd,Degafloor,Cold,9,construction,http://www.degafloor.com,https://www.facebook.com/DegafloorLtd,Online,"['https://www.facebook.com/DegafloorLtd', 'https://www.facebook.com/DegafloorLtd', 'https://www.facebook.com/DegafloorLtd']"
Zenith Flooring,Zenith Flooring,Cold,4,construction,http://www.zenithflooring.co.uk,,Online,None
MDFITOUT LIMITED,MDFITOUT LIMITED,Cold,8,construction,http://www.mdfitout.co.uk,https://www.facebook.com/mdfitout,Online,"['https://www.instagram.com/mdfitout_ltd/', 'https://www.facebook.com/mdfitout']"
Partner Flooring,Partner Flooring,Cold,2,construction,http://www.partnerflooring.com,,Online,None
Olympian Marble Corporation,Olympian Marble,Cold,2,building materials,http://www.olympianmarble.com,,Online,['https://www.instagram.com/olympianmarble/']
ELITE RENOVATIONS ACT,ELITE RENOVATIONS ACT,Cold,1,construction,http://www.eliterenoact.com,,Online,"['https://www.facebook.com/ELITERenovationsACT', 'https://www.instagram.com/ELITERenovationsACT', 'https://www.facebook.com/ELITERenovationsACT', 'https://www.instagram.com/ELITERenovationsACT']"
"CI Flooring, LLC.",CI Flooring,Cold,8,construction,http://www.ciflooringllc.com,https://www.facebook.com/CI-Flooring-LLC-110425418428646,Online,"['https://www.instagram.com/ci_flooring/', 'https://www.facebook.com/CI-Flooring-LLC-110425418428646', 'https://www.instagram.com/ci_flooring/', 'https://www.facebook.com/CI-Flooring-LLC-110425418428646']"
Flooring Direct NZ,Flooring Direct NZ,Cold,7,construction,http://www.flooringdirect.co.nz,,Online,['https://www.instagram.com/flooringdirectnz/']
SR Vloeren,SR Vloeren,Cold,9,construction,http://www.sr-vloeren.nl,,Online,None
NOBEL Flooring,NOBEL Flooring,Cold,7,construction,http://www.nobelflooring.com,https://www.facebook.com/nobelflooring/,Online,"['https://www.facebook.com/nobelflooring/', 'https://www.instagram.com/nobelflooring/']"
Ryno Custom Flooring,Ryno Custom Flooring,Cold,3,construction,http://www.rynofloors.com,https://facebook.com/RynoCustomFloors,Offline or Error,None
BRT Flooring,BRT Flooring,Cold,2,construction,http://www.brtflooring.com,,Online,"['https://www.facebook.com/brtflooring ', 'https://www.instagram.com/brt_intertech/', 'https://www.facebook.com/brtflooring ', 'https://www.instagram.com/brt_intertech/', 'https://www.facebook.com/brtflooring', 'https://www.instagram.com/brt_intertech/']"
CRT Flooring Specialists Ltd,CRT Flooring Specialists,Cold,8,construction,http://www.crtflooringspecialists.co.uk,https://www.facebook.com/crtflooringspecialists/,Online,['https://www.facebook.com/crtflooringspecialists']
New Homes Flooring,New Homes Flooring,Cold,10,construction,http://www.newhomesflooring.co.uk,,Online,"['https://en-gb.facebook.com/NewHomesFlooring/', 'https://www.instagram.com/newhomesflooring/', 'https://en-gb.facebook.com/NewHomesFlooring/', 'https://www.instagram.com/newhomesflooring/', 'https://en-gb.facebook.com/NewHomesFlooring/', 'https://www.instagram.com/newhomesflooring/']"
